# load the base data ../data/imagenet/imagenet_base.fvecs, , 0
# load the queries ../data/imagenet/imagenet_query.fvecs, , 0
# load the ground truth ../data/imagenet/20_imagenet_product_groundtruth.ivecs, 0
# ranking metric product, 0
# NormPQ, percentiles: 256, quantize: AQ, M: 7, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.177309, 0
# Mean AQ quantization error: 0.177309, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items, 0
1, 0, 0.0348, 0.696, 0, 1, 0
2, 0, 0.06770000000000001, 0.677, 0, 2, 0
4, 0, 0.12484999999999999, 0.62425, 0, 4, 0
8, 0, 0.21855000000000002, 0.546375, 0, 8, 0
16, 0, 0.3609, 0.451125, 0, 16, 0
32, 0, 0.54595, 0.34121875, 0, 32, 0
64, 0, 0.72065, 0.225203125, 0, 64, 0
128, 0, 0.85465, 0.1335390625, 0, 128, 0
256, 0, 0.9349500000000001, 0.07304296875, 0, 256, 0
512, 0, 0.976, 0.038125, 0, 512, 0
1024, 0, 0.99175, 0.0193701171875, 0, 1024, 0
2048, 0, 0.9971, 0.0097373046875, 0, 2048, 0
4096, 0, 0.9994, 0.0048798828125, 0, 4096, 0
8192, 0, 0.99985, 0.0024410400390625, 0, 8192, 0
16384, 0, 0.9999, 0.0012205810546875, 0, 16384, 0
32768, 0, 0.9999499999999999, 0.000610321044921875, 0, 32768, 0
65536, 0, 0.9999499999999999, 0.0003051605224609375, 0, 65536, 0
131072, 0, 1.0, 0.000152587890625, 0, 131072, 0
262144, 0, 1.0, 7.62939453125e-05, 0, 262144, 0
524288, 0, 1.0, 3.814697265625e-05, 0, 524288, 0
1048576, 0, 1.0, 1.9073486328125e-05, 0, 1048576, 0
2097152, 0, 1.0, 9.5367431640625e-06, 0, 2097152, 0
4194304, 0, 1.0, 8.545646356371399e-06, 0, 2340373, 0
